BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131898,404131,12,2016-01-02 12:34:00.153,1.0,-103,1,12587
7131902,220494,25,2016-01-02 12:34:17.147,1.0,-103,1,7056
7131902,453133,25,2016-01-02 12:34:17.147,1.0,-103,1,2074
7131931,427450,26,2016-01-02 12:38:20.233,1.0,-103,1,3755
7131931,473569,26,2016-01-02 12:38:20.233,1.0,-103,1,5092
7131937,348914,23,2016-01-02 12:39:27.427,1.0,-103,1,239
7131937,421882,23,2016-01-02 12:39:27.427,1.0,-103,1,5749
7131945,363421,10,2016-01-02 12:40:12.880,1.0,-103,1,821
7131945,398648,10,2016-01-02 12:40:12.880,1.0,-103,1,1
7131945,459197,10,2016-01-02 12:40:12.880,1.0,-103,1,11326
7131945,464279,10,2016-01-02 12:40:12.880,1.0,-103,1,3756
7131945,465310,10,2016-01-02 12:40:12.880,1.0,-103,1,9175
7131963,359327,9,2016-01-02 12:42:34.313,1.0,-103,1,1233
7131963,383561,9,2016-01-02 12:42:34.313,1.0,-103,1,2555
7131970,212851,32,2016-01-02 12:42:46.130,1.0,-103,1,1594
7131970,355962,32,2016-01-02 12:42:46.130,1.0,-103,1,4395
7131977,258259,2,2016-01-02 12:44:03.213,1.0,-103,1,444
7131977,258339,2,2016-01-02 12:44:03.213,1.0,-103,1,766
7131977,347366,2,2016-01-02 12:44:03.213,1.0,-103,1,368
7131977,430079,2,2016-01-02 12:44:03.213,1.0,-103,1,1728
7131983,215065,23,2016-01-02 12:44:47.030,1.0,-103,1,3767
7131983,392778,23,2016-01-02 12:44:47.030,1.0,-103,1,9522
7131983,415536,23,2016-01-02 12:44:47.030,1.0,-103,1,4746
7131983,416210,23,2016-01-02 12:44:47.030,1.0,-103,1,9430
7132001,462142,11,2016-01-02 12:47:50.743,1.0,-103,1,11399
7132001,462490,11,2016-01-02 12:47:50.743,1.0,-103,1,2342
351537,258391,44,2016-01-02 12:48:09.420,1.0,-103,1,36
351537,258424,44,2016-01-02 12:48:09.420,1.0,-103,1,202
351537,348005,44,2016-01-02 12:48:09.420,1.0,-103,1,233
351537,348006,44,2016-01-02 12:48:09.420,1.0,-103,1,939
351537,372548,44,2016-01-02 12:48:09.420,1.0,-103,1,1440
351537,405030,44,2016-01-02 12:48:09.420,1.0,-103,1,519
351537,446128,44,2016-01-02 12:48:09.420,1.0,-103,1,3380
7132004,440014,6,2016-01-02 12:48:12.620,1.0,-103,1,214
7132004,463565,6,2016-01-02 12:48:12.620,1.0,-103,1,2737
7132005,258134,7,2016-01-02 12:48:15.443,1.0,-103,1,399
7132005,258283,7,2016-01-02 12:48:15.443,1.0,-103,1,575
7132005,347350,7,2016-01-02 12:48:15.443,1.0,-103,1,1577
7132015,348914,23,2016-01-02 12:49:45.317,1.0,-103,1,239
7132015,400485,23,2016-01-02 12:49:45.317,1.0,-103,1,1349
7132018,349756,20,2016-01-02 12:50:03.830,1.0,-103,1,128
7132018,365502,20,2016-01-02 12:50:03.830,1.0,-103,1,262
7132021,454676,27,2016-01-02 12:50:12.823,1.0,-103,1,12056
7132021,459798,27,2016-01-02 12:50:12.823,1.0,-103,1,5397
7132021,464021,27,2016-01-02 12:50:12.823,1.0,-103,1,5469
7132153,212873,7,2016-01-02 12:50:14.823,1.0,-103,1,550
7132153,213201,7,2016-01-02 12:50:14.823,1.0,-103,1,12
7132153,258300,7,2016-01-02 12:50:14.823,1.0,-103,1,473
7132153,258316,7,2016-01-02 12:50:14.823,1.0,-103,1,192
7132153,258346,7,2016-01-02 12:50:14.823,1.0,-103,1,625
